,Predict_in_You_Do
0,3.7918899994275064
1,3.7770941855950833
2,3.1818361779806974
3,2.440686769676278
4,1.8168514200175045
5,1.8746362309739073
6,1.7618604734178591
7,1.6125440307525118
8,1.3593944212896738
9,1.7711753460983528
10,1.6347073625545445
11,1.6529069346515257
12,1.6006679056359543
13,1.4985283434307823
14,1.32332635663036
15,1.369390440215007
16,1.5236981442009312
17,1.3683111153702276
18,1.33959874639083
19,1.4813227397070026
20,1.2072424003735567
21,1.2798835940563167
22,1.2823036947715134
23,1.3819548393612813
24,1.4805199518874619
25,1.4335642469925196
26,1.4467887490306972
27,1.2999067419660766
28,1.2650221428087043
29,1.2744288852717425
30,1.3256543799296259
31,1.3331009533181748
32,1.2975386740987882
33,1.210658192682105
34,1.512550892221138
35,1.2329558622763686
36,1.1566528088424954
37,1.2176988122752739
38,1.710780692345265
39,1.4780413572822544
40,1.3632855034251914
41,1.1929304491114214
42,1.1430157032881862
43,1.8524427042430436
44,1.5843182500678092
45,1.4993162667296935
46,1.3473006930529094
47,1.2843696525384296
48,1.1291312493975307
49,1.2928791846944323
50,1.1238020145194088
51,1.236688163674795
52,1.1592397228144613
53,1.185565542528944
54,1.2582658534640365
55,1.2178988585211004
56,1.2369319667098173
57,1.1046572269651662
58,1.179659860334663
59,1.4714278681406385
60,1.6864774536998486
61,2.638841393340512
62,1.1199871700737534
63,1.1746129975834207
64,1.4790128602230843
65,1.1699336056378213
66,1.1025542880028023
67,1.4828078270102627
68,1.3092502443254406
69,1.1346348545012492
70,1.2922209755440373
71,1.088696247485613
72,1.287580582110049
73,1.048554577207917
74,1.4523368873993514
75,1.1242266874109073
76,1.4436312931946842
77,1.1592968522670184
78,1.1020110763441144
79,1.344073302258156
80,1.2357743301998945
81,1.1699336056378213
82,1.2400039323137324
83,1.102898460538459
84,1.3000775803962668
85,1.4346243426469667
86,1.1340385792140024
87,1.0943262911270368
88,1.1331447537734713
89,1.184767330926002
90,1.3623900170427616
91,1.1136944400988043
92,1.092530131090912
93,1.4891544227076
94,1.308411744425137
95,1.3436759404651786
96,1.5386637699269898
97,1.342925688682496
98,1.1799311852209469
99,1.4830514259495777
100,1.454294508346552
101,1.6386326242833211
102,1.613869027472392
103,1.4755426734377417
104,1.5402063439842522
105,2.171108801138957
106,1.6535043885677012
107,1.6256027481923405
108,1.8329792904818454
109,1.8348772096121773
110,2.2293313441510225
111,1.4909902144305929
112,1.5871314871344033
113,1.6200844971706643
114,1.7085900796767293
115,1.618621447620609
116,1.43818728446896
117,1.6045377890897254
118,2.5290497488623385
119,2.301936028921969
120,2.569417302607796
121,2.1831610749930848
122,2.738244007453976
123,2.2609002995511007
124,3.170358056049549
125,2.3672029193748405
126,3.3111979229267545
127,2.5963166799177744
128,3.3409201133958146
129,2.6165254205308486
130,3.0776847308376403
131,6.495379062019085
132,3.3047858100849274
133,2.999226919626543
134,3.7176920137056335
135,3.8394001511470575
136,2.9777250186677504
137,3.7867857490506003
138,3.058884725018982
139,2.7323129768662806
140,2.7468037068814284
141,3.077735287983583
142,2.944309522006908
143,1.5534956515130027
144,1.6022989619458072
145,2.284382160673845
146,2.8196307964291614
147,1.6509260200857072
148,1.5888270464817174
149,2.0371150153752335
150,1.8855072618325253
151,2.3263026111503198
152,1.623254531956079
153,2.114858411049914
154,3.688190715419782
155,4.153228022999539
156,2.9803186269179602
157,2.60092689905793
158,3.31555219312775
159,1.5168803639797457
160,1.3850911576855764
161,1.584942982612883
162,1.7664682432105872
163,1.640598788238566
164,1.564147941052166
165,1.3734229351746794
166,1.2587413388176494
167,1.2142232628888974
168,1.4133384205469346
169,1.2933465042487544
170,1.4917006604606025
171,1.3820456471212752
172,1.393283514465439
173,1.2666856640926154
174,1.4023303511022904
175,1.3764494445139626
176,1.3715967060375562
177,1.4876385416047668
178,1.4287448263398301
179,1.569939800724093
180,1.4621033783589585
181,1.3278556172069216
182,1.3203082061498304
183,1.3977996136876532
184,1.4309997053179255
185,1.3844769706198412
186,1.5644563001247713
187,1.3165397895845405
188,1.3781462964044218
189,1.369390440215007
190,1.6815258021310033
191,1.3987643283591682
192,1.363778271799388
193,1.2562418846574928
194,1.7520188906907341
195,1.2755598702931321
196,1.2659991966570845
197,1.4780899172699742
198,1.473241807017711
199,1.4909902144305929
200,1.5877573290025266
201,1.2334623064393158
202,1.3270487994326556
203,1.2326115990258812
204,1.256427623499961
205,1.3498482711185902
206,1.4077080006255478
207,1.3748901860700387
208,1.2603344891716448
209,1.201366873748569
210,1.7208145902771226
211,1.8344251459353018
212,1.6044323624109784
213,1.4815417573773695
214,1.4563983053232898
215,1.529189496712743
216,1.5380572791298166
217,1.5702750961097327
218,1.5391693616069893
219,1.5489344466400097
220,1.5988809142244713
221,1.6008519739773264
222,2.180150701925346
223,2.115310085863292
224,1.7124958207347525
225,2.2391306087841376
226,1.8934841451458184
227,2.105568419383359
228,1.9487061112242778
229,1.5770219675542543
230,1.9173343670249805
231,1.8175977028527321
232,1.8668307465837866
233,2.0754522828980506
234,1.5629151124270275
235,1.4101613051426916
236,1.4968307925455924
237,1.4851480294985169
238,1.4366052857439797
239,1.5246495656594137
240,1.5137688597930712
241,1.308304283282253
242,1.4947668041590023
243,1.5950508757103647
244,1.4304591499393742
245,1.2809983768613245
246,1.4866125312198144
247,1.5303454441457023
248,1.2828514819215309
249,1.3593274311491024
250,1.4537690341141933
251,1.2885538921359272
252,1.8912149125322737
253,1.4992423813246218
254,1.4406463758188988
255,1.4164994251969711
256,1.40018964798714
257,1.2990315472957201
258,1.399223950286012
259,1.3540011438541522
260,1.7276689644721401
261,1.6116701288865232
262,1.4660235230415446
263,1.5547976695555121
264,1.4122244568251359
265,1.5489344466400097
266,1.6805593027249277
267,1.7196277605528152
268,1.9614882853854807
269,1.6392518462153587
270,1.8254671973793768
271,2.2816069791405313
272,1.7813878802181657
273,2.0527350894447927
274,2.2909961613045007
275,3.0942612630584567
276,1.854543553429212
277,1.5684962696423668
278,1.4968307925455924
279,2.362385995465823
280,2.7115662677586245
281,2.9286806327329034
282,3.0859872131225146
283,2.5816442663541435
284,1.770099163016355
285,1.5489344466400097
286,1.6941409923397068
287,1.6604997535989678
288,1.8254671973793768
289,1.9176808521800364
290,1.981730214597387
291,2.114858411049914
292,1.7373737668171851
293,1.6061464045752674
294,1.687281047982417
295,1.3134292353381032
296,1.3274412441244376
297,1.3827723240442038
298,1.4074074176269973
299,1.4405280541157368
300,1.3301260574322686
301,1.8348772096121773
302,1.3069080913168893
303,1.3589925299615004
304,1.5331132106353196
305,1.317816379254991
306,1.2782237371523468
307,1.4039668541549446
308,1.6487578810987216
309,1.3538676984160911
310,1.4482630048146872
311,1.287580582110049
312,1.3519342168534725
313,1.5089772276513522
314,1.1779558176708667
315,1.3251318504482839
316,1.2523065618706606
317,1.2175788003002708
318,1.0958193463688688
319,1.199651181215945
320,1.1017576691677318
321,1.3301260574322686
322,1.1718185205992293
323,1.4199240504228192
324,1.3758842916243066
325,1.4597275501349027
326,1.1884904144076718
327,1.5569189736211644
328,1.460998977615061
329,1.3662672299846208
330,1.4456721681365179
331,1.433328776580707
332,1.3750257036123956
333,1.4510491616689372
334,1.3769922096841547
335,1.3075737815360626
336,1.5888270464817174
337,1.3977996136876532
338,1.3970420903782839
339,1.8777490477197079
340,1.2007552538241058
341,1.2602930831471522
342,1.380253298176708
343,1.32332635663036
344,1.356851115343586
345,1.2795682656624214
346,1.4714278681406385
347,1.3376197222170907
348,1.4574274036329058
349,1.415848052707111
350,1.2231517964515866
351,1.45931996818764
352,1.2485271244430074
353,1.62282794812786
354,1.3073160547854943
355,2.0799916337377664
356,1.4468125154383475
357,2.6200953036874406
358,2.135665441603938
359,2.411593775832873
360,2.3336129231405818
361,2.9807592752825074
362,3.417464519303065
363,1.8729433034142435
364,2.967226906421173
365,2.187001737444316
366,2.3298592173955033
367,2.1960016037199344
368,1.5617089092719856
369,1.830361581478998
370,1.640598788238566
371,1.6193927090081224
372,1.4652771655249386
373,1.470050768455513
374,1.7187522922641547
375,1.6643502421057226
376,1.30322073626219
377,1.8045077905409574
378,1.4074074176269973
379,1.4554894744476632
380,1.8761457644053043
381,1.7120176613815024
382,1.9085044408317025
383,1.4866125312198144
384,1.3465705371208838
385,1.670046702317061
386,2.3213782408599326
387,1.7088707706223472
388,1.7199385177694495
389,1.617186284399193
390,1.5308734497498504
391,2.0504097265089345
392,1.5864798308387122
393,1.8903141915216062
394,2.031767897207791
395,1.2849394296058363
396,1.6283822927618732
397,1.8231297314572577
398,2.257263554845362
399,2.258042364500108
400,1.9450922070848293
401,2.2159682916813734
402,2.4325614767423205
403,3.528184612271503
404,3.568519698047825
405,2.6630969751797493
406,3.0208840839968145
407,4.122572451037748
408,3.1392641025895234
409,5.060847620175195
410,2.163170161399676
411,2.500792443242691
412,2.0527350894447927
413,2.3517382457042135
414,1.9019946111393489
415,3.1863343692815325
416,2.3447177758168243
417,3.4977156238874083
418,2.6566740196157776
419,2.755209119959432
420,2.895244729382277
421,3.3322054417125897
422,2.910025874484692
423,2.693232456008173
424,2.5035463315207798
425,1.9514610151184673
426,1.728208272345456
427,1.584500438285283
428,1.9075954854097574
429,1.9227908908754978
430,1.8380145831121961
431,1.8298805708703219
432,1.6089719707956853
433,1.5791476528994828
434,1.7322726790325502
435,1.2307097602561379
436,1.2764402191709094
437,1.3796639197247473
438,1.5174535770207493
439,1.4728062578516483
440,1.5553085626961538
441,1.3911109176915708
442,1.6431340361758349
443,1.7208145902771226
